,age,portion,item,risk,why,term,bearing,types,profit_exp,conf,res_1,res_2,tf1,tf2,tf3,tf4,stock_type,risk_level
37,>65,61-80%,10-20k,10-20%,3. As a part of experience :),Regular (6month~1 year),2,"['Fund', 'Leverage', 'Individual Stocks']",40-80%,1,1. Sell everything and give up,5. Keep the portfolio as is,Don't know,False,False,False,"['Airline', 'Luxury goods', 'Energy & Resources', 'Franchise', 'Real Estate', 'Traveling', 'Social Media', 'Cloud Computing']",medium
38,46-65,21-40%,0-10k,10-20%,3. As a part of experience :),Long (More than 3 years),4,"['ETF', 'Fund', 'Individual Stocks', 'Leverage']",40-80%,9,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,Don't know,False,"['Telecommunication', 'Energy & Resources', 'Traveling', 'Social Media', 'Airline', 'Franchise', 'Real Estate']",high
39,23-30,21-40%,>80k,0-5%,1. Stock as a part of portfolio,Quite Long (1~3 year),5,"['Individual Stocks', 'ETF']",0-10%,9,2. Sell majority of stock and take some time before re-enter,"3. Take out 50%, and wait for further growth",Short term,False,Don't know,True,"['Social Media', 'Semiconductors', 'Cloud Computing', 'Entertainment', 'Real Estate', 'Retail', 'Franchise', 'Energy & Resources', 'Traveling', 'Telecommunication']",low
40,>65,21-40%,>80k,over 30%,2. Only source of profit,Very short (1 month),7,"['Leverage', 'Fund', 'ETF', 'Individual Stocks']",>80%,2,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Long term,Don't know,True,False,"['Semiconductors', 'Cloud Computing', 'Telecommunication', 'Luxury goods', 'Social Media', 'Energy & Resources']",high
41,18-22,0-20%,>80k,over 30%,2. Only source of profit,Long (More than 3 years),8,"['Individual Stocks', 'Leverage', 'Fund', 'ETF']",0-10%,6,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,False,False,['Franchise'],medium
42,>65,0-20%,10-20k,10-20%,2. Only source of profit,Quite Long (1~3 year),4,"['ETF', 'Fund', 'Leverage', 'Individual Stocks']",0-10%,8,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Short term,False,False,Don't know,"['Cloud Computing', 'Retail', 'Real Estate']",medium
43,23-30,81-100%,>80k,over 30%,3. As a part of experience :),Regular (6month~1 year),2,"['Fund', 'ETF', 'Individual Stocks']",40-80%,10,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Short term,True,True,True,"['Entertainment', 'Luxury goods', 'Real Estate', 'Retail', 'Traveling', 'Energy & Resources']",medium
44,23-30,41-60%,>80k,0-5%,1. Stock as a part of portfolio,Very short (1 month),10,"['Individual Stocks', 'Leverage', 'ETF']",40-80%,6,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Short term,Don't know,False,Don't know,"['Social Media', 'Telecommunication', 'Cloud Computing', 'Airline', 'Entertainment']",medium
45,46-65,0-20%,0-10k,over 30%,1. Stock as a part of portfolio,Very short (1 month),4,"['Fund', 'ETF']",10-20%,7,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Long term,Don't know,True,Don't know,"['Entertainment', 'Luxury goods', 'Retail', 'Airline', 'Energy & Resources', 'Traveling', 'Social Media', 'Telecommunication', 'Cloud Computing', 'BlockChain', 'Franchise', 'Semiconductors']",medium
46,46-65,61-80%,>80k,5-10%,2. Only source of profit,Very short (1 month),6,"['Individual Stocks', 'Fund', 'ETF']",>80%,2,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Don't know,False,Don't know,True,"['Retail', 'Traveling', 'Telecommunication', 'Semiconductors', 'Real Estate', 'Franchise', 'Entertainment']",medium
47,>65,0-20%,10-20k,10-20%,3. As a part of experience :),Short Term (within 3 months),2,"['Leverage', 'Individual Stocks', 'Fund']",>80%,6,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Don't know,False,Don't know,False,"['Social Media', 'Telecommunication', 'Real Estate', 'Luxury goods']",medium
48,18-22,0-20%,>80k,10-20%,2. Only source of profit,Regular (6month~1 year),1,"['Leverage', 'Individual Stocks']",>80%,5,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Long term,True,Don't know,False,"['Real Estate', 'BlockChain']",medium
49,23-30,41-60%,10-20k,10-20%,2. Only source of profit,Very short (1 month),2,"['Leverage', 'Fund', 'ETF', 'Individual Stocks']",>80%,1,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Don't know,True,False,Don't know,"['Cloud Computing', 'Luxury goods', 'Semiconductors', 'Social Media', 'Retail', 'Telecommunication', 'Entertainment', 'Airline', 'Traveling']",medium
50,31-45,61-80%,40-80k,over 30%,3. As a part of experience :),Regular (6month~1 year),5,"['Leverage', 'ETF', 'Fund']",40-80%,10,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Long term,False,False,Don't know,"['Airline', 'Semiconductors', 'Traveling', 'Luxury goods', 'Social Media', 'Real Estate', 'BlockChain', 'Telecommunication', 'Franchise', 'Retail']",medium
51,23-30,61-80%,>80k,over 30%,1. Stock as a part of portfolio,Long (More than 3 years),8,['ETF'],20-40%,7,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Don't know,True,True,True,"['Traveling', 'BlockChain', 'Cloud Computing', 'Semiconductors', 'Telecommunication', 'Retail', 'Entertainment', 'Social Media', 'Luxury goods', 'Real Estate', 'Energy & Resources', 'Franchise']",medium
52,31-45,21-40%,40-80k,0-5%,1. Stock as a part of portfolio,Long (More than 3 years),2,['ETF'],0-10%,2,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,Don't know,False,True,"['Energy & Resources', 'Entertainment', 'Franchise', 'Cloud Computing', 'Traveling', 'Retail']",low
53,23-30,21-40%,>80k,5-10%,3. As a part of experience :),Short Term (within 3 months),7,"['ETF', 'Fund', 'Individual Stocks']",40-80%,5,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Don't know,True,False,True,"['Energy & Resources', 'Semiconductors', 'Traveling', 'Retail', 'Franchise', 'Luxury goods', 'BlockChain', 'Social Media', 'Entertainment', 'Cloud Computing', 'Telecommunication', 'Real Estate', 'Airline']",medium
54,46-65,41-60%,0-10k,10-20%,2. Only source of profit,Regular (6month~1 year),1,"['Fund', 'Individual Stocks', 'ETF', 'Leverage']",10-20%,1,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Long term,True,True,False,"['Energy & Resources', 'Traveling', 'Social Media', 'Retail', 'BlockChain', 'Franchise', 'Semiconductors', 'Luxury goods', 'Cloud Computing', 'Entertainment', 'Airline', 'Telecommunication', 'Real Estate']",medium
55,31-45,61-80%,10-20k,0-5%,3. As a part of experience :),Quite Long (1~3 year),5,['Fund'],40-80%,9,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Don't know,Don't know,Don't know,False,"['Cloud Computing', 'Franchise', 'Airline', 'Retail', 'Traveling', 'Social Media', 'Telecommunication']",medium
56,23-30,61-80%,40-80k,0-5%,3. As a part of experience :),Short Term (within 3 months),4,['ETF'],20-40%,1,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Long term,False,Don't know,False,"['Retail', 'Telecommunication', 'Entertainment', 'Airline', 'Franchise', 'BlockChain']",low
57,31-45,0-20%,10-20k,5-10%,2. Only source of profit,Short Term (within 3 months),2,['Leverage'],40-80%,5,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Long term,False,True,True,"['Cloud Computing', 'Energy & Resources', 'Luxury goods', 'Semiconductors', 'Social Media']",low
58,23-30,81-100%,20-40k,10-20%,1. Stock as a part of portfolio,Quite Long (1~3 year),7,"['Fund', 'ETF', 'Individual Stocks', 'Leverage']",40-80%,1,"4. Volatility is inevitable, so only sell the weak assets","4. Volatility is inevitable, so only sell the least increased assets",Short term,False,Don't know,Don't know,"['Energy & Resources', 'Semiconductors', 'Cloud Computing', 'BlockChain', 'Retail', 'Airline', 'Luxury goods', 'Real Estate', 'Social Media']",medium
59,18-22,41-60%,10-20k,0-5%,3. As a part of experience :),Regular (6month~1 year),7,['Individual Stocks'],20-40%,5,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Long term,False,False,False,"['Luxury goods', 'Airline', 'Cloud Computing']",low
60,31-45,0-20%,20-40k,20-30%,2. Only source of profit,Very short (1 month),4,"['Individual Stocks', 'ETF', 'Leverage', 'Fund']",40-80%,4,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Don't know,Don't know,True,Don't know,"['Traveling', 'Luxury goods']",high
61,18-22,81-100%,10-20k,0-5%,1. Stock as a part of portfolio,Long (More than 3 years),7,"['Fund', 'ETF']",10-20%,7,1. Sell everything and give up,5. Keep the portfolio as is,Long term,Don't know,False,Don't know,"['Real Estate', 'Airline', 'Entertainment', 'Social Media', 'Luxury goods', 'Energy & Resources', 'Cloud Computing', 'Retail', 'Traveling', 'BlockChain', 'Franchise', 'Semiconductors']",low
62,18-22,0-20%,0-10k,10-20%,3. As a part of experience :),Short Term (within 3 months),3,['Individual Stocks'],10-20%,9,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,Don't know,Don't know,False,"['BlockChain', 'Real Estate', 'Cloud Computing', 'Luxury goods', 'Franchise', 'Entertainment', 'Energy & Resources']",medium
63,18-22,0-20%,20-40k,20-30%,2. Only source of profit,Regular (6month~1 year),2,"['Individual Stocks', 'Fund']",40-80%,10,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Short term,True,False,True,"['Airline', 'BlockChain', 'Telecommunication']",medium
64,23-30,0-20%,10-20k,5-10%,2. Only source of profit,Regular (6month~1 year),2,"['Individual Stocks', 'Fund']",>80%,7,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Long term,Don't know,False,False,"['Energy & Resources', 'Telecommunication', 'Airline']",medium
65,31-45,21-40%,10-20k,0-5%,2. Only source of profit,Very short (1 month),2,"['Fund', 'Individual Stocks']",>80%,2,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Don't know,Don't know,True,False,['Franchise'],medium
66,31-45,0-20%,10-20k,10-20%,1. Stock as a part of portfolio,Very short (1 month),2,"['ETF', 'Individual Stocks', 'Leverage']",>80%,10,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,True,Don't know,False,"['Airline', 'Real Estate', 'Franchise', 'Cloud Computing', 'Semiconductors', 'BlockChain', 'Energy & Resources', 'Retail']",high
67,46-65,21-40%,0-10k,5-10%,2. Only source of profit,Short Term (within 3 months),3,['Fund'],10-20%,9,1. Sell everything and give up,1. Sell everything and gain profit,Long term,False,Don't know,False,"['Luxury goods', 'Real Estate', 'Franchise']",medium
68,23-30,61-80%,40-80k,20-30%,1. Stock as a part of portfolio,Regular (6month~1 year),10,"['Leverage', 'ETF', 'Individual Stocks', 'Fund']",0-10%,2,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Don't know,Don't know,True,True,"['Retail', 'Semiconductors', 'Social Media', 'Traveling', 'Entertainment', 'Luxury goods', 'Airline', 'Energy & Resources', 'Cloud Computing', 'BlockChain']",medium
69,>65,61-80%,>80k,10-20%,2. Only source of profit,Quite Long (1~3 year),7,"['ETF', 'Fund', 'Individual Stocks', 'Leverage']",10-20%,5,2. Sell majority of stock and take some time before re-enter,"3. Take out 50%, and wait for further growth",Long term,Don't know,Don't know,True,"['Real Estate', 'Energy & Resources', 'BlockChain', 'Traveling', 'Telecommunication', 'Social Media']",medium
70,23-30,61-80%,10-20k,0-5%,2. Only source of profit,Short Term (within 3 months),8,"['Individual Stocks', 'ETF']",40-80%,2,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,False,Don't know,"['Retail', 'Real Estate', 'Traveling']",medium
71,23-30,81-100%,10-20k,5-10%,3. As a part of experience :),Quite Long (1~3 year),1,['Leverage'],10-20%,4,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Long term,True,False,True,['Entertainment'],low
72,46-65,41-60%,>80k,over 30%,2. Only source of profit,Long (More than 3 years),10,"['Individual Stocks', 'Leverage', 'ETF', 'Fund']",20-40%,9,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,False,Don't know,Don't know,"['Social Media', 'Retail', 'Traveling', 'BlockChain', 'Franchise', 'Telecommunication']",medium
73,46-65,21-40%,10-20k,over 30%,3. As a part of experience :),Regular (6month~1 year),10,"['Leverage', 'Individual Stocks', 'Fund', 'ETF']",0-10%,5,2. Sell majority of stock and take some time before re-enter,"3. Take out 50%, and wait for further growth",Long term,False,True,Don't know,"['Retail', 'Airline', 'Social Media', 'Semiconductors', 'Traveling', 'Energy & Resources', 'Telecommunication', 'Entertainment', 'Real Estate', 'BlockChain', 'Luxury goods']",medium
74,31-45,21-40%,>80k,20-30%,2. Only source of profit,Quite Long (1~3 year),6,"['Individual Stocks', 'ETF']",20-40%,2,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Short term,False,True,Don't know,"['Entertainment', 'Real Estate', 'Telecommunication', 'Luxury goods', 'Semiconductors', 'Franchise', 'Airline']",medium
75,31-45,61-80%,>80k,20-30%,2. Only source of profit,Long (More than 3 years),4,"['Leverage', 'Individual Stocks', 'ETF', 'Fund']",10-20%,10,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Short term,False,Don't know,Don't know,"['Retail', 'Telecommunication', 'Cloud Computing', 'BlockChain', 'Airline', 'Franchise', 'Luxury goods', 'Entertainment', 'Social Media', 'Traveling', 'Energy & Resources', 'Real Estate', 'Semiconductors']",medium
76,46-65,61-80%,40-80k,over 30%,2. Only source of profit,Short Term (within 3 months),10,"['Individual Stocks', 'ETF']",40-80%,9,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,True,Don't know,"['Traveling', 'Cloud Computing', 'Airline', 'Energy & Resources', 'Telecommunication']",high
77,46-65,61-80%,10-20k,20-30%,3. As a part of experience :),Quite Long (1~3 year),8,"['Leverage', 'Individual Stocks', 'ETF', 'Fund']",10-20%,5,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Long term,True,False,False,"['Semiconductors', 'Retail', 'Real Estate', 'Franchise', 'Airline', 'Cloud Computing', 'BlockChain', 'Entertainment', 'Energy & Resources', 'Traveling', 'Social Media', 'Luxury goods', 'Telecommunication']",medium
78,18-22,81-100%,10-20k,0-5%,1. Stock as a part of portfolio,Quite Long (1~3 year),4,"['Leverage', 'Individual Stocks']",40-80%,10,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Long term,True,False,False,"['BlockChain', 'Energy & Resources', 'Semiconductors', 'Cloud Computing', 'Traveling', 'Franchise', 'Luxury goods', 'Entertainment', 'Social Media', 'Telecommunication', 'Real Estate', 'Retail', 'Airline']",medium
79,46-65,21-40%,20-40k,20-30%,2. Only source of profit,Regular (6month~1 year),10,['ETF'],40-80%,1,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Long term,Don't know,True,True,"['Franchise', 'Telecommunication', 'Social Media']",medium
